"PD_id","price"
845,"11290000"
847,"10690000"
848,"9190000"
857,"6840000"
859,"7490000"
863,"6840000"
872,"10040000"
883,"9240000"
884,"10440000"
885,"15240000"
889,"6840000"
890,"9820000"
891,"11290000"
897,"10490000"
898,"6490000"
900,"26490000"
906,"12090000"
910,"11310000"
911,"7840000"
917,"7490000"
921,"5990000"
925,"23090000"
926,"6990000"
928,"46290000"
929,"46290000"
930,"17640000"
959,"34990000"
966,"11990000"
967,"12990000"
981,""
984,"41490000"
849,"8790000"
852,"11890000"
855,"10740000"
856,"6840000"
858,"9790000"
862,"7590000"
870,"15690000"
877,"19990000"
879,"8490000"
882,"11690000"
894,"16590000"
903,"15290000"
905,"15590000"
908,"13790000"
915,"15440000"
918,"28390000"
936,"9940000"
938,"13590000"
944,"17490000"
945,"18690000"
946,"50990000"
947,"50990000"
952,"30700000"
971,"14090000"
974,"19890000"
975,"28590000"
979,"16990000"
853,"13290000"
854,"14290000"
867,"17390000"
871,"8240000"
875,"14940000"
881,"21190000"
886,"16790000"
887,"7490000"
892,"13590000"
893,"6840000"
895,"12240000"
896,"7940000"
901,"18420000"
907,"16390000"
909,"13890000"
912,"10740000"
914,"24290000"
916,"14240000"
920,"9790000"
922,"19790000"
923,"15690000"
935,"41590000"
937,""
941,"12740000"
943,"12990000"
950,"52290000"
953,"35100000"
956,"21090000"
958,"39490000"
964,"38490000"
965,"52290000"
969,"17490000"
970,"11090000"
976,"9990000"
977,"32090000"
980,"15190000"
983,"41490000"
846,"11690000"
850,"14190000"
851,"13990000"
860,"10990000"
861,"11810000"
864,"7240000"
865,"7340000"
866,"11390000"
868,"8740000"
869,"8290000"
873,"13690000"
874,"12690000"
876,"12740000"
878,"14590000"
880,"13690000"
888,"13390000"
899,"8690000"
902,"12490000"
904,"7840000"
913,"23890000"
919,"9990000"
924,"8490000"
927,"30590000"
931,"15490000"
932,"9790000"
933,"9990000"
934,"21490000"
939,"10590000"
940,"32390000"
942,"10490000"
948,"54990000"
949,"54990000"
951,"25000000"
954,"27490000"
955,"13990000"
957,"36790000"
960,"50790000"
961,"32490000"
962,"13240000"
963,"26790000"
968,"26590000"
972,"19590000"
973,"23890000"
978,"8740000"
982,"32390000"
989,"1090000"
985,"1280000"
986,"520000"
988,"550000"
991,"1390000"
987,"1990000"
992,"420000"
993,"2491000"
994,"3490000"
990,"1090000"
748,"7290000"
750,"8490000"
752,"5390000"
754,"3690000"
759,"10590000"
762,"9190000"
764,"12490000"
766,"9790000"
768,"28190000"
772,"7890000"
773,"5650000"
774,"22800000"
775,"9590000"
776,"13190000"
779,"8990000"
786,"8990000"
790,"7990000"
794,"10690000"
801,"4790000"
804,"8290000"
805,"31190000"
807,"11290000"
808,"9790000"
809,"37990000"
810,"29990000"
814,"8990000"
818,"30590000"
820,"8500000"
824,"9690000"
829,"11390000"
837,"11090000"
841,"9800000"
843,"8400000"
747,"6190000"
753,"4790000"
756,"9590000"
757,"12390000"
758,"10490000"
765,"12090000"
767,"15490000"
781,"10100000"
783,"10490000"
784,"12490000"
788,"7990000"
792,"12690000"
793,"20990000"
795,"18190000"
812,"11890000"
819,"12990000"
823,"14090000"
832,"10590000"
834,"8290000"
842,"10700000"
844,"8900000"
745,"5990000"
749,"4490000"
763,"5490000"
769,"7990000"
771,"5990000"
778,"8990000"
780,"8390000"
782,"23590000"
789,"9590000"
791,"11690000"
796,"12990000"
797,"4990000"
800,"9990000"
802,"5990000"
803,"7370000"
806,"9350000"
813,"13190000"
816,"8890000"
817,"5690000"
821,"11090000"
825,"10290000"
831,"9090000"
833,"7590000"
835,"29690000"
838,"7890000"
840,"5990000"
746,"3590000"
751,"9390000"
755,"7990000"
760,"13890000"
761,"18290000"
770,"10990000"
777,"6890000"
785,"14490000"
787,"15290000"
798,"8690000"
799,"8990000"
811,"23790000"
815,"11490000"
822,"7190000"
826,"32990000"
827,"27490000"
828,"12890000"
830,"4190000"
836,"7690000"
839,"12290000"
455,"10490000"
464,"12690000"
477,"8990000"
482,"12990000"
484,"13490000"
485,"9190000"
487,"8190000"
488,"20490000"
489,"3090000"
492,"9900000"
503,"20490000"
506,"16990000"
513,"17990000"
516,"18390000"
520,"14590000"
524,"16990000"
527,"17690000"
533,"10490000"
534,"46990000"
545,"31990000"
547,"25290000"
550,"16290000"
552,"10990000"
559,"15790000"
563,"20990000"
572,"11290000"
595,"6590000"
597,"5490000"
598,"31990000"
599,"5790000"
605,"62990000"
606,"61900000"
615,"74990000"
617,"14840000"
618,"10490000"
627,"12090000"
629,"24490000"
639,"12090000"
640,"16990000"
643,"12690000"
644,"45990000"
648,"15490000"
651,"11990000"
652,"4890000"
443,"4590000"
447,"7290000"
451,"8390000"
453,"11490000"
456,"8990000"
